Coke Can, 1.10, 100
Bread, 0.7, 30
Spaghetti, 1.20, 100
Tomato Sauce, 0.80, 100
Bin Bags, 2.50, 10
Screw Driver,59.99,5
Socks,22.0,8
Dry Gin, 17.10, 100
Butter, 9.77, 10
Snail, 11.20, 50
Halogen Light Bulbs, 8.25, 30
Liquid Detergents, 2.50, 20
CornFlakes, 5.80, 20
Bottle Drinks, 2.50, 100
Water Bottle,5.99,50
Guinness,7.59,8
Mens Shirt, 110.99, 20
Women Trousers, 77.50, 5
Blazers, 120, 10
Dell Computer, 1080, 10
HP Laptop, 2000.50, 10
Apple Phone-11,599.99,6
iMac Computer,1002.0,5
Coke Can, 1.10, 100
Bread, 0.7, 30
Spaghetti, 1.20, 100
Tomato Sauce, 0.80, 100
Bin Bags, 2.50, 10
Screw Driver,59.99,5
Socks,22.0,8
